Gene_ID,Protein_Function,Locus
CA01g15040,photosystem II CP43 chlorophyll apoprotein [Nandina domestica],Pepper1.55ch01:78812939-78813314
CA01g15050,Photosystem II CP43 chlorophyll apoprotein,Pepper1.55ch01:78813383-78815249
CA01g15060,DNA-directed RNA polymerase subunit beta,Pepper1.55ch01:78822465-78823548
CA01g15070,DNA-directed RNA polymerase subunit beta,Pepper1.55ch01:78823576-78825373
CA01g15080,DNA-directed RNA polymerase,Pepper1.55ch01:78827023-78828166
CA01g15090,DNA-directed RNA polymerase subunit beta'',Pepper1.55ch01:78829062-78830184
CA01g15100,DNA-directed RNA polymerase subunit beta'',Pepper1.55ch01:78831444-78832008
CA01g15110,DNA-directed RNA polymerase subunit beta'',Pepper1.55ch01:78832084-78832420
CA01g15120,30S ribosomal protein S2%2C chloroplastic,Pepper1.55ch01:78832791-78833271
CA01g15130,ATP synthase subunit a%2C chloroplastic,Pepper1.55ch01:78833690-78834434
CA01g15140,ATP synthase subunit alpha%2C chloroplastic,Pepper1.55ch01:78837559-78838909
CA01g15150,photosystem II protein I [Nicotiana tabacum],Pepper1.55ch01:78840130-78840298
CA01g15160,Maturase K,Pepper1.55ch01:78846093-78846570
CA01g15170,Photosystem Q(B) protein,Pepper1.55ch01:78847084-78848146
CA01g15180,50S ribosomal protein L2%2C chloroplastic,Pepper1.55ch01:78848842-78849271
CA01g15190,ribosomal protein L23 (chloroplast) [Capsicum annuum],Pepper1.55ch01:78850353-78850635
CA01g15200,Hypothetical chloroplast RF2,Pepper1.55ch01:78851585-78852071
CA01g15210,Hypothetical chloroplast RF2,Pepper1.55ch01:78852692-78853247
CA01g15220,Hypothetical chloroplast RF2,Pepper1.55ch01:78853969-78854950
CA01g15230,Probable ATPase (Fragment),Pepper1.55ch01:78855217-78855571
CA01g15240,Hypothetical chloroplast RF2,Pepper1.55ch01:78855900-78856995
CA01g15250,Hypothetical chloroplast RF2,Pepper1.55ch01:78857126-78857348
CA01g15260,Hypothetical chloroplast RF2,Pepper1.55ch01:78857393-78857894
CA01g15270,Ycf68 protein,Pepper1.55ch01:78865596-78866006
CA01g15280,unnamed protein product (chloroplast) [Nicotiana undulata],Pepper1.55ch01:78866018-78866449
CA01g15290,Detected protein of unknown function,Pepper1.55ch01:78871036-78871752
CA01g15300,GTP cyclohydrolase II/3%2C4-dihydroxy-2-butanone 4-phosphate synthase,Pepper1.55ch01:78877853-78882711
CA01g15310,NADH-plastoquinone oxidoreductase subunit 5,Pepper1.55ch01:78887494-78888172
CA01g15320,NADH dehydrogenase subunit (Fragment),Pepper1.55ch01:78888352-78889453
CA01g15330,NADH dehydrogenase subunit (Fragment),Pepper1.55ch01:78890043-78890778
CA01g15340,NADH-plastoquinone oxidoreductase subunit 5,Pepper1.55ch01:78890822-78891536
CA01g15350,Cytochrome c biogenesis protein CcsA,Pepper1.55ch01:78892316-78892847
CA01g15360,NAD(P)H-quinone oxidoreductase chain 4%2C chloroplastic,Pepper1.55ch01:78893083-78894235
CA01g15370,NADH-plastoquinone oxidoreductase subunit 6 (chloroplast) [Capsicum annuum],Pepper1.55ch01:78895730-78896261
CA01g15380,NADH-plastoquinone oxidoreductase subunit I (chloroplast) [Capsicum annuum],Pepper1.55ch01:78896653-78897181
CA01g15390,DNA-directed RNA polymerase,Pepper1.55ch01:78898328-78900314
CA01g15400,Detected protein of unknown function,Pepper1.55ch01:78957922-78958294
CA01g15410,Aminophospholipid ATPase (Fragment),Pepper1.55ch01:79399518-79411739
CA01g15420,Putative Tam3-transposase,Pepper1.55ch01:79705171-79705915
CA01g15430,DNA topoisomerase 6 subunit B,Pepper1.55ch01:79800297-79805132
CA01g15440,EIN3-like protein EIL3,Pepper1.55ch01:79847748-79849782
CA01g15450,PREDICTED: thioredoxin H2-like [Cucumis sativus],Pepper1.55ch01:80235688-80235862
CA01g15460,ADP%2CATP carrier protein-like,Pepper1.55ch01:80497438-80499152
CA01g15470,Hevamine-A%2C putative,Pepper1.55ch01:80577278-80577668
CA01g15480,Ubiquitin-protein ligase%2C putative,Pepper1.55ch01:80599680-80602942
CA01g15490,Detected protein of unknown function,Pepper1.55ch01:80702228-80705898
CA01g15500,Detected protein of unknown function,Pepper1.55ch01:80764928-80765638
CA01g15510,Leucine rich repeat protein,Pepper1.55ch01:81060742-81061798
CA01g15520,Wax synthase,Pepper1.55ch01:81380270-81382321
CA01g15530,Wax synthase,Pepper1.55ch01:81389270-81389537
CA01g15540,Wax synthase,Pepper1.55ch01:81389771-81391541
CA01g15550,PREDICTED: O-acyltransferase WSD1-like [Solanum lycopersicum],Pepper1.55ch01:81391692-81392141
CA01g15560,DEAD-box ATP-dependent RNA helicase,Pepper1.55ch01:82571108-82580479
CA01g15570,30S ribosomal protein S3%2C chloroplastic,Pepper1.55ch01:83510236-83511150
CA01g15580,50S ribosomal protein L2%2C chloroplastic,Pepper1.55ch01:83511559-83511988
CA01g15590,50S ribosomal protein L2%2C chloroplastic,Pepper1.55ch01:83512648-83513050
CA01g15600,ribosomal protein L23 (chloroplast) [Capsicum annuum],Pepper1.55ch01:83513068-83513350
CA01g15610,Detected protein of unknown function,Pepper1.55ch01:83593608-83595330
CA01g15620,PREDICTED: flowering time control protein FCA-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:83595953-83603091
CA01g15630,Detected protein of unknown function,Pepper1.55ch01:85349115-85349385
CA01g15640,Transcription factor%2C putative,Pepper1.55ch01:86386547-86387258
CA01g15650,UDP-glucosyltransferase%2C putative,Pepper1.55ch01:86415727-86416885
CA01g15660,Catalytic%2C putative,Pepper1.55ch01:86685669-86688231
CA01g15670,Ribosomal protein,Pepper1.55ch01:86988379-86990330
CA01g15680,PREDICTED: CEN-like protein 1-like [Solanum tuberosum],Pepper1.55ch01:87549366-87550934
CA01g15690,PREDICTED: stamen-specific protein FIL1-like [Solanum lycopersicum],Pepper1.55ch01:87698012-87698294
CA01g15700,PREDICTED: protein phosphatase inhibitor 2-like isoform X3 [Solanum tuberosum],Pepper1.55ch01:87965835-87966672
CA01g15710,PREDICTED: probable methyltransferase PMT15-like [Solanum tuberosum],Pepper1.55ch01:88543125-88546761
CA01g15720,Protein binding protein%2C putative,Pepper1.55ch01:88576601-88577180
CA01g15730,Detected protein of unknown function,Pepper1.55ch01:88804329-88805037
CA01g15740,Putative retroelement pol polyprotein,Pepper1.55ch01:88816944-88817844
CA01g15750,Pre-mRNA cleavage factor im%2C 25kD subunit%2C putative,Pepper1.55ch01:88828915-88830449
CA01g15760,PREDICTED: transcription factor LAF1-like [Solanum tuberosum],Pepper1.55ch01:88842102-88846802
CA01g15770,Detected protein of unknown function,Pepper1.55ch01:89172524-89172962
CA01g15780,PIF-like transposase,Pepper1.55ch01:91289604-91290985
CA01g15790,Detected protein of unknown function,Pepper1.55ch01:91291332-91291914
CA01g15800,Detected protein of unknown function,Pepper1.55ch01:91360733-91361414
CA01g15810,Cytochrome b559 subunit alpha [Medicago truncatula],Pepper1.55ch01:91682461-91682659
CA01g15820,UDP-glycosyltransferase 1,Pepper1.55ch01:92154391-92154544
CA01g15830,DNA-directed RNA polymerase (Fragment),Pepper1.55ch01:92225150-92225699
CA01g15840,Translation elongation factor EF1B/ribosomal protein S6 family protein [Theobroma cacao],Pepper1.55ch01:92243573-92246023
CA01g15850,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch01:92248299-92250186
CA01g15860,PREDICTED: cysteine-rich receptor-like protein kinase 10-like%2C partial [Solanum tuberosum],Pepper1.55ch01:92495395-92495815
CA01g15870,Transcription factor Pur-alpha,Pepper1.55ch01:92503645-92504347
CA01g15880,PREDICTED: putative receptor-like protein kinase At3g47110-like [Solanum tuberosum],Pepper1.55ch01:93584033-93584468
CA01g15890,Galactokinase%2C putative,Pepper1.55ch01:93585787-93589936
CA01g15900,S3 self-incompatibility locus-linked putative F-box protein S3-A113,Pepper1.55ch01:95048286-95049228
CA01g15910,BED zinc finger%2ChAT family dimerization domain [Theobroma cacao],Pepper1.55ch01:95445866-95446316
CA01g15920,Os07g0525300 protein,Pepper1.55ch01:95447041-95447638
CA01g15930,Os03g0310500 protein (Fragment),Pepper1.55ch01:95463976-95464762
CA01g15940,Nucleic acid-binding proteins superfamily isoform 1 [Theobroma cacao],Pepper1.55ch01:96183044-96192023
CA01g15950,Adenine nucleotide alpha hydrolases-like superfamily protein [Theobroma cacao],Pepper1.55ch01:96256811-96259220
CA01g15960,Enzyme inhibitor%2C putative,Pepper1.55ch01:96261913-96262585
CA01g15970,Detected protein of confused Function,Pepper1.55ch01:96395617-96397126
CA01g15980,Disease resistance response protein%2C putative [Ricinus communis],Pepper1.55ch01:96776467-96776989
CA01g15990,PREDICTED: putative ribonuclease H protein At1g65750-like [Setaria italica],Pepper1.55ch01:96793656-96794076
CA01g16000,ATP:citrate lyase,Pepper1.55ch01:96967443-96972998
CA01g16010,Phytochrome,Pepper1.55ch01:96974725-96981529
CA01g16020,Map3k delta-1 protein kinase%2C putative,Pepper1.55ch01:97195046-97207948
CA01g16030,Chaperone protein dnaJ,Pepper1.55ch01:97618201-97621808
CA01g16040,Annexin,Pepper1.55ch01:97775778-97775994
CA01g16050,Type II DNA topoisomerase VI subunit B%2C putative,Pepper1.55ch01:98125095-98129135
CA01g16060,Nematode resistance-like protein (Fragment),Pepper1.55ch01:98902004-98907574
CA01g16070,PREDICTED: TMV resistance protein N-like [Solanum lycopersicum],Pepper1.55ch01:98918747-98919242
CA01g16080,PREDICTED: zinc finger CCCH domain-containing protein 14-like isoform 1 [Vitis vinifera],Pepper1.55ch01:98950607-98951679
CA01g16090,Detected protein of unknown function,Pepper1.55ch01:98962521-98962854
CA01g16100,PREDICTED: ABC transporter G family member 28-like [Solanum lycopersicum],Pepper1.55ch01:99949365-99949791
CA01g16110,PREDICTED: serine carboxypeptidase-like 45-like [Solanum tuberosum],Pepper1.55ch01:100303714-100316707
CA01g16120,glycine-rich family protein [Populus trichocarpa],Pepper1.55ch01:100703981-100705294
CA01g16130,Actin cross-linking protein%2C putative [Theobroma cacao],Pepper1.55ch01:101159922-101162759
CA01g16140,Photosystem II CP43 chlorophyll apoprotein,Pepper1.55ch01:101613756-101616174
CA01g16150,RNA polymerase beta' subunit [Nasturtium officinale],Pepper1.55ch01:101622639-101623176
CA01g16160,DNA-directed RNA polymerase subunit beta,Pepper1.55ch01:101624024-101625098
CA01g16170,DNA-directed RNA polymerase subunit beta,Pepper1.55ch01:101625192-101625612
CA01g16180,DNA-directed RNA polymerase,Pepper1.55ch01:101627282-101628467
CA01g16190,DNA-directed RNA polymerase (Fragment),Pepper1.55ch01:101628678-101629677
CA01g16200,DNA-directed RNA polymerase subunit beta'',Pepper1.55ch01:101629948-101630428
CA01g16210,DNA-directed RNA polymerase subunit beta'',Pepper1.55ch01:101631688-101632150
CA01g16220,PREDICTED: zinc finger A20 and AN1 domain-containing stress-associated protein 8-like isoform 1 [Solanum lycopersicum],Pepper1.55ch01:101708827-101709355
CA01g16230,AT5G19900 protein,Pepper1.55ch01:102133314-102134847
CA01g16240,Transposon protein%2C putative%2C CACTA%2C En/Spm sub-class,Pepper1.55ch01:102244508-102244907
CA01g16250,PREDICTED: 26S protease regulatory subunit 8 homolog A-like [Solanum lycopersicum],Pepper1.55ch01:102319841-102329425
CA01g16260,Serine/threonine-protein phosphatase,Pepper1.55ch01:103227923-103228625
CA01g16270,Unknown protein,Pepper1.55ch01:103309939-103310377
CA01g16280,Detected protein of unknown function,Pepper1.55ch01:103310506-103312130
CA01g16290,ACT domain repeat 1 isoform 2 [Theobroma cacao],Pepper1.55ch01:103932347-103933057
CA01g16300,Putative AP endonuclease/reverse transcriptase,Pepper1.55ch01:103999634-104000114
CA01g16310,Polyprotein (Fragment),Pepper1.55ch01:104381562-104382333
CA01g16320,Detected protein of unknown function,Pepper1.55ch01:104383223-104383873
CA01g16330,PREDICTED: protein SPIRAL1-like 1-like isoform 1 [Solanum lycopersicum],Pepper1.55ch01:104417677-104417953
CA01g16340,Unknown protein,Pepper1.55ch01:106619888-106620056
CA01g16350,Protease m50 membrane-bound transcription factor site 2 protease%2C putative,Pepper1.55ch01:106627167-106628679
CA01g16360,Pyruvate kinase,Pepper1.55ch01:107179961-107181708
CA01g16370,S-locus linked F-box protein type-2,Pepper1.55ch01:107407089-107407896
CA01g16380,PREDICTED: TMV resistance protein N-like [Vitis vinifera],Pepper1.55ch01:108555475-108556786
CA01g16390,Detected protein of unknown function,Pepper1.55ch01:108557826-108558447
CA01g16400,Detected protein of unknown function,Pepper1.55ch01:109049193-109051169
CA01g16410,Deetiolated 1-like protein,Pepper1.55ch01:109844785-109845589
CA01g16420,Retrotransposon protein%2C putative%2C Ty1-copia subclass,Pepper1.55ch01:110231337-110231796
CA01g16430,TATA-binding protein 2,Pepper1.55ch01:110256381-110265273
CA01g16440,Detected protein of unknown function,Pepper1.55ch01:110659218-110660115
CA01g16450,PREDICTED: double-stranded RNA-binding protein 1-like [Citrus sinensis],Pepper1.55ch01:110676947-110677844
CA01g16460,PREDICTED: TMV resistance protein N-like [Vitis vinifera],Pepper1.55ch01:110719107-110720148
CA01g16470,PREDICTED: double-stranded RNA-binding protein 1-like [Citrus sinensis],Pepper1.55ch01:110722806-110723076
CA01g16480,Importin beta-3%2C putative,Pepper1.55ch01:111914740-111919657
CA01g16490,PREDICTED: importin-5-like [Solanum tuberosum],Pepper1.55ch01:111921698-111925891
CA01g16500,PREDICTED: probable E3 ubiquitin-protein ligase ARI7-like [Solanum lycopersicum],Pepper1.55ch01:112209373-112211815
CA01g16510,DNA polymerase eta,Pepper1.55ch01:113281308-113283007
CA01g16520,Translesion synthesis DNA polymerase eta splice variant,Pepper1.55ch01:113293551-113295289
CA01g16530,Unknown protein,Pepper1.55ch01:114285709-114286506
CA01g16540,PREDICTED: probable iron/ascorbate oxidoreductase DDB_G0283291-like isoform 1 [Solanum lycopersicum],Pepper1.55ch01:115421909-115426815
CA01g16550,Detected protein of unknown function,Pepper1.55ch01:116977043-116977631
CA01g16560,Os02g0513700 protein,Pepper1.55ch01:116978450-116978750
CA01g16570,PREDICTED: F-box/kelch-repeat protein At1g55270-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:116980933-116982184
CA01g16580,Transposon MuDR mudrA-like protein%2C putative,Pepper1.55ch01:117100004-117100370
CA01g16590,Zinc ion binding%2Cnucleic acid binding-like protein [Theobroma cacao],Pepper1.55ch01:117262883-117263618
CA01g16600,AT5G51300 protein,Pepper1.55ch01:117549433-117549887
CA01g16610,Os08g0451600 protein,Pepper1.55ch01:117560484-117561456
CA01g16620,Polyprotein (Fragment),Pepper1.55ch01:118111472-118111985
CA01g16630,PREDICTED: dirigent protein 19-like [Solanum tuberosum],Pepper1.55ch01:118136970-118137543
CA01g16640,Detected protein of unknown function,Pepper1.55ch01:118359306-118359591
CA01g16650,PREDICTED: zinc finger protein 6-like [Cucumis sativus],Pepper1.55ch01:119023752-119024274
CA01g16660,Cinnamoyl-CoA reductase,Pepper1.55ch01:119408856-119413840
CA01g16670,Detected protein of unknown function,Pepper1.55ch01:119582035-119585600
CA01g16680,Protein COBRA%2C putative,Pepper1.55ch01:120722995-120726033
CA01g16690,RRB2 type-b response regulator,Pepper1.55ch01:120727454-120731465
CA01g16700,Dehydration-induced 19-like protein,Pepper1.55ch01:121005123-121008959
CA01g16710,PREDICTED: protein DEHYDRATION-INDUCED 19 homolog 4-like [Solanum lycopersicum],Pepper1.55ch01:121009069-121010116
CA01g16720,Detected protein of unknown function,Pepper1.55ch01:121011753-121015287
CA01g16730,PREDICTED: pumilio homolog 24-like [Vitis vinifera],Pepper1.55ch01:121064136-121069293
CA01g16740,Heat shock protein binding protein,Pepper1.55ch01:121069764-121070271
CA01g16750,Lipase class 3 family protein,Pepper1.55ch01:121314644-121317651
CA01g16760,Triacylglycerol lipase%2C putative,Pepper1.55ch01:121326656-121328085
CA01g16770,Phospholipase d zeta%2C putative,Pepper1.55ch01:121592074-121605360
CA01g16780,Putative non-LTR retroelement reverse transcriptase,Pepper1.55ch01:121605773-121606181
CA01g16790,PREDICTED: phospholipase D p1-like [Solanum lycopersicum],Pepper1.55ch01:121607977-121610993
CA01g16800,PREDICTED: CST complex subunit TEN1-like isoform X2 [Citrus sinensis],Pepper1.55ch01:121661131-121662582
CA01g16810,Protein phosphatase 2c%2C putative,Pepper1.55ch01:121683879-121686257
CA01g16820,PREDICTED: uncharacterized LOC101208528 [Cucumis sativus],Pepper1.55ch01:121698299-121699559
CA01g16830,PREDICTED: WD repeat-containing protein 43-like [Solanum tuberosum],Pepper1.55ch01:121704017-121704387
CA01g16840,PREDICTED: WD repeat-containing protein 43-like [Vitis vinifera],Pepper1.55ch01:121712911-121717155
CA01g16850,Putative transducin family protein / WD-40 repeat family protein,Pepper1.55ch01:121717176-121718259
CA01g16860,Detected protein of confused Function,Pepper1.55ch01:122313653-122314229
CA01g16870,Serine/threonine-protein kinase,Pepper1.55ch01:122813849-122814041
CA01g16880,PREDICTED: pentatricopeptide repeat-containing protein At3g06430%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch01:122879975-122881112
CA01g16890,Ring finger protein%2C putative,Pepper1.55ch01:123253103-123254096
CA01g16900,Pectinesterase,Pepper1.55ch01:123432295-123434046
CA01g16910,Pectinesterase,Pepper1.55ch01:123634124-123635786
CA01g16920,Unknown protein,Pepper1.55ch01:124155147-124155456
CA01g16930,Detected protein of confused Function,Pepper1.55ch01:124345376-124345694
CA01g16940,Photosystem II D2 protein (Fragment),Pepper1.55ch01:124562880-124563051
CA01g16950,PREDICTED: exopolygalacturonase-like [Cucumis sativus],Pepper1.55ch01:125100825-125103213
CA01g16960,NADH dehydrogenase subunit 2 (mitochondrion) [Vaccinium macrocarpon],Pepper1.55ch01:125573723-125573924
CA01g16970,succinate dehydrogenase subunit 3 [Nicotiana tabacum],Pepper1.55ch01:125574566-125574851
CA01g16980,Detected protein of confused Function,Pepper1.55ch01:125578286-125579087
CA01g16990,DAG protein%2C chloroplast%2C putative,Pepper1.55ch01:125654829-125661583
CA01g17000,Anthranilate phosphoribosyltransferase (Fragment),Pepper1.55ch01:125715760-125716933
CA01g17010,Transposase,Pepper1.55ch01:125728987-125729921
CA01g17020,ATP binding protein%2C putative,Pepper1.55ch01:125767867-125773456
CA01g17030,Phragmoplast orienting kinesin 1%2C putative [Theobroma cacao],Pepper1.55ch01:125775357-125780555
CA01g17040,Kinesin POK1,Pepper1.55ch01:125791169-125793299
CA01g17050,Armadillo/beta-catenin-like repeats-containing protein,Pepper1.55ch01:126104746-126111850
CA01g17060,Serpin-ZX,Pepper1.55ch01:126276241-126276496
CA01g17070,Unknown protein,Pepper1.55ch01:126294601-126295629
CA01g17080,Tex protein-relatedtranscription accessory protein%2C putative,Pepper1.55ch01:126424831-126430142
